,INVOICE_UPDATE_DATETIME,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION,GTIN,PRODUCT_DESCRIPTION,new_invoice_description
1118,2021-08-10 01:57:10.000000,858770002447,858770002447,OMB COPPER 4/6/12 BTL,00858770002447,THE OLDE MECKLENBURG BREWERY COPPER ALTBIER - 6-12OZ PACK,NEED TO INSPECT
1164,2021-08-10 01:42:49.000000,00863408000160,00863408000160,SUNRIVER C 4/6/12 RIPPN,00863408000160,RIPPIN NORTHWEST ALE 12OZ CAN,NEED TO INSPECT
1166,2021-08-10 01:55:09.000000,00034100575090,00034100575090,LITE 2/12/12 LNNR,00034100575090,MILLER LITE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
1244,2021-08-10 01:48:31.000000,022100001572,00086003461925,"750    MOND PRIV SEL 19 CHARDONNAY,",00022100001572,PABST BLUE RIBBON BEER 18 CT 12 OZ CAN IN BOX 216 OZ,NEED TO INSPECT
1274,2021-08-10 01:28:58.000000,087692171027,00086003813854,1.5    WOODBRIDGE NV CABERNET SAUVIG,00087692171027,TWISTED TEA CARRIER 6X12OZ BOTTLES TWISTED TEA BLUEBERRY,NEED TO INSPECT
1316,2021-08-10 01:05:42.000000,00704361121113,00704361990245,GL IRISH ALE 4/6 PK NR,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
1354,2021-08-10 01:08:04.000000,034100175092,034100175092,MGD 2/12 LNNR,00034100175092,MILLER GENUINE DRAFT BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
1355,2021-08-10 01:21:17.000000,080660956152,080660956152,2/12/12NR CORONA,00080660956152,CORONA EXTRA BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
1399,2021-08-10 01:29:44.000000,00082000778240,00082000725183,SM ICE 2/12/11.2 BT,00082000725183,SMIRNOFF ICE MALT BEVERAGE 12 CT 11 OZ LONG NECK BTL IN BOX 134.4 OZ,NEED TO INSPECT
1410,2021-08-10 01:35:45.000000,754527000660,754527000660,NB-VD IPA 6PK BOTTLE,00754527000660,NEW BELGIUM VOODOO RANGER IPA 4/6/12OZ CANS,NEED TO INSPECT
1411,2021-08-10 01:25:39.000000,018200967313,018200069918,ULT 2/12PK SLIMCAN,00018200069918,MICHELOB ULTRA BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
1412,2021-08-10 01:25:39.000000,018200967313,018200069918,ULT 2/12PK SLIMCAN,00018200967313,MICHELOB ULTRA BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
1457,2021-08-10 01:30:58.000000,00082000778219,00082000723851,SM ICE 4/6/12 BT,00082000723851,SMIRNOFF ICE MALT BEVERAGE 6 CT 11 OZ LONG NECK BTL CRTN 67.2 OZ,NEED TO INSPECT
1460,2021-08-10 01:27:50.000000,00082000778264,00082000757481,SM FLAVORS 4/6 SCREWDRIVR,00082000757481,SMIRNOFF MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,NEED TO INSPECT
1492,2021-08-10 01:48:46.000000,00853883003039,00853883003022,C2O C 12/17.5 WITH PULP,00853883003039,C2O PURE COCONUT WATER W/PULP 12/17.5OZ CAN,NEED TO INSPECT
1514,2021-08-10 01:55:51.000000,00080660958804,00080660958811,CON VICTORIA 4-6-12 BTL,00080660958804,VICTORIA LAGER BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
1515,2021-08-10 01:55:51.000000,00080660958804,00080660958811,CON VICTORIA 4-6-12 BTL,00080660958811,VICTORIA LAGER BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
1579,2021-08-10 01:44:33.000000,034100572150,034100572150,LITE ON-PREM - 24PK LSE BTL,00034100572150,MILLER LITE BEER 24 CT 12 OZ LONG NECK BOTTLE 288 OZ,NEED TO INSPECT
1617,2021-08-10 01:51:39.000000,018200258787,018200258787,AB-NATDAD 6P/16Z C,00018200258787,NATTY DADDY LAGER BEER 6 CT 16 OZ CAN 96 OZ,NEED TO INSPECT
1688,2021-08-10 01:32:47.000000,00018200963247,00018200149900,BL LIME 2/12/12 LN,00018200963247,BUD LIGHT LIME BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
1689,2021-08-10 01:33:17.000000,034100175092,034100175092,MGD F12,00034100175092,MILLER GENUINE DRAFT BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
1718,2021-08-10 01:51:29.000000,00754527010249,00754527010249,NB MTN TIME 2/12/12 CAN,00754527010249,NEW BELGIUM MOUNTAIN TIME PREMIUM LAGER BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
1740,2021-08-10 01:51:46.000000,00635985260479,00635985260448,WC HRD RUBY GF C12 19.2OZ,00635985260448,WHITE CLAW HARD SELTZER RUBY GRAPEFRUIT MALT BEVERAGE 1 CT 19 OZ CAN 19.2 OZ,NEED TO INSPECT
1749,2021-08-10 01:40:27.000000,00070310700518,00080432802533,SEAG ST DAQRI 24/11.2OZ NR,00080432802533,SEAGRAMS ESCAPES STRAWBERRY DAIQUIRI MALT BEVERAGE 1 CT 11 OZ LONG NECK BOTTLE 11.2 OZ,NEED TO INSPECT
1771,2021-08-10 01:16:50.000000,814891020487,814891020487,OLD NATION BOSS TWEED 6/4C/16OZ,00814891020487,BOSS TWEED DOUBLE IPA OLD NATION,NEED TO INSPECT
1775,2021-08-10 01:10:03.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985500056,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
1776,2021-08-10 01:10:03.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985548904,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
1783,2021-08-10 01:04:32.000000,070310014837,070310014837,SEAG SPKD JMH 12/23.5 CN,00070310014837,SEAGRAMS ESCAPES SPIKED JAMAICAN ME HAPPY MALT BEVERAGE 1 CT 24 OZ CAN 23.5 OZ,NEED TO INSPECT
1787,2021-08-10 01:06:52.000000,00737530060043,00737530060043,SCH COFFEE STO 4-6-12 CAN,00737530060043,SCHLAFLY SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
1808,2021-08-10 01:12:58.000000,85606500204,85606500204,DEEP EDDY VODKA  LT,00856065002042,DE SPIRITS LLC 1L BOTTLE - DEV,NEED TO INSPECT
1809,2021-08-10 01:13:32.000000,00635985800071,00635985800064,MIK WHTCLW VP2 2-12-12 CAN,00635985800071,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
1810,2021-08-10 01:13:32.000000,00635985800071,00635985800064,MIK WHTCLW VP2 2-12-12 CAN,00635985800064,WHITE CLAW HARD SELTZER FLAVOR COLLECTION NO 2 VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
1813,2021-08-10 01:26:07.000000,00071439451183,00071439451183,R ROCK        18/12 LNNR,00071439451183,ROLLING ROCK EXTRA PALE BEER 18 CT 12 OZ LONG NECK BTL IN BOX 216 OZ,NEED TO INSPECT
1838,2021-08-10 01:37:22.000000,00704361121113,00704361990245,GL IRISH ALE 4/6 PK NR,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
1880,2021-08-10 01:20:13.000000,00864451000305,00864451000305,WW CHERRY LIME 4/6/12 CAN,00864451000305,WICKED WEED BREWING BURST 6PACK WRAP 12OZ CAN,NEED TO INSPECT
1919,2021-08-10 01:09:51.000000,00635985800071,00635985800064,MIK WHTCLW VP2 2-12-12 CAN,00635985800071,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
1920,2021-08-10 01:09:51.000000,00635985800071,00635985800064,MIK WHTCLW VP2 2-12-12 CAN,00635985800064,WHITE CLAW HARD SELTZER FLAVOR COLLECTION NO 2 VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
1957,2021-08-10 01:30:41.000000,00858187003228,00858187003082,BOOZY T VARITY C24 12OZ 6P,00858187003228,OWL'S BREW RADLER DO NOT USE 6PK VARIETY MASTER CASE - BOOZY TEA,NEED TO INSPECT
2061,2021-08-10 01:06:09.000000,00078000011814,00078000011814,7-UP C 12PK 2/12 ZERO,00078000011814,7UP DIET ZERO SODA 2/12/12OZ CANS ,NEED TO INSPECT
2107,2021-08-10 01:38:20.000000,00078000033328,00078000033328,C DRY C 2/12PK BOLD GINGERALE,00078000033328,CANADA DRY BOLD SODA 2/12/12OZ CANS,NEED TO INSPECT
2140,2021-08-10 01:08:24.000000,00078000011814,00078000011814,7-UP C 12PK 2/12 ZERO,00078000011814,7UP DIET ZERO SODA 2/12/12OZ CANS ,NEED TO INSPECT
2144,2021-08-10 01:23:17.000000,,00855623002166,IRON HORSE C 24/16 IRISH,00855623002166,IRISH DEATH 16OZ 6-PACK QUILTERS 6 PACK CANS,NEED TO INSPECT
2167,2021-08-10 01:05:59.000000,00078000033892,00078000033892,A&W C 10PK 7.5OZ ROOTBEER,00078000033892,A&W ROOT BEER SODA 3/10/7.5OZ CANS,NEED TO INSPECT
2184,2021-08-10 01:09:27.000000,00078000053166,00078000053166,A&W C 12PK 2/12ZERO ROOTB,00078000053166,A&W DIET ROOT BEER SODA 24/12OZ CANS,NEED TO INSPECT
2253,2021-08-10 01:21:50.000000,,00855623002159,IRON HORSE C 4/6 IRISH,00855623002159,IRISH DEATH 12OZ 6-PACK QUILTERS 6 PACK CANS,NEED TO INSPECT
2281,2021-08-10 01:07:35.000000,,085200918768,S HOME SWEET RED 4PK 24C PET - CS24-187ML,00085200918768,SUTTR HM SWT RD RED BLND/MRTG 187 ML,NEED TO INSPECT
2305,2021-08-10 01:13:13.000000,814891020487,814891020487,OLD NATION BOSS TWEED 6/4C/16OZ,00814891020487,BOSS TWEED DOUBLE IPA OLD NATION,NEED TO INSPECT
2314,2021-08-10 01:13:47.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985500056,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
2315,2021-08-10 01:13:47.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985548904,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
2318,2021-08-10 01:10:04.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985500056,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
2319,2021-08-10 01:10:04.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985548904,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
2419,2021-08-10 01:03:00.000000,08500001727,,CAMARENA TEQUILA SILVER,00085000017272,FAMILIA CMR SLV IM TEQ WHITE 375 ML,NEED TO INSPECT
2450,2021-08-10 01:19:57.000000,786162010001,,20Z PT 12LS_VW PWR C,00786162010001,VITAMIN WATER DRINK 12/20OZ PET,NEED TO INSPECT
2490,2021-08-10 01:32:35.000000,071990480455,00071990480455,KEY LT 2/15PK CANS,00071990480455,KEYSTONE LIGHT BEER 15 CT 12 OZ CAN IN BOX 180 OZ,NEED TO INSPECT
2498,2021-08-10 01:10:39.000000,00078000012194,00078000012194,7-UP P4/6/16.9 REGULAR,00078000012194,7UP SODA 4/6/500 ML PLASTIC BOTTLES,NEED TO INSPECT
2523,2021-08-10 01:07:11.000000,00078000053166,00078000053166,A&W C 12PK 2/12ZERO ROOTB,00078000053166,A&W DIET ROOT BEER SODA 24/12OZ CANS,NEED TO INSPECT
2526,2021-08-10 01:13:29.000000,00087692300519,00087692300502,SEAS SA CS    COLDSNP 4/6 BT,00087692300519,SAMUEL ADAMS CARTON 4X6PK MOTHER SAMUEL ADAMS SEASONAL,NEED TO INSPECT
2527,2021-08-10 01:13:29.000000,00087692300519,00087692300502,SEAS SA CS    COLDSNP 4/6 BT,00087692300502,SAMUEL ADAMS CARRIER 6X12OZ BOTTLES SAMUEL ADAMS SEASONAL,NEED TO INSPECT
2547,2021-08-10 01:19:26.000000,00087692751342,00087692751342,TT 1/2 N 1/2 CAN 2/12/12,00087692751342,TWISTED TEA WRAP 12X12OZ CANS TWISTED TEA HALF & HALF,NEED TO INSPECT
2604,2021-08-10 01:32:18.000000,080660957883,080660957876,NEGRA MODLO PK 2/12/12 BT,00080660957883,MODELO NEGRA BEER 24 CT 12 OZ GLASS BOTTLE IN BOX 288 OZ,NEED TO INSPECT
2605,2021-08-10 01:32:18.000000,080660957883,080660957876,NEGRA MODLO PK 2/12/12 BT,00080660957876,MODELO NEGRA BEER 12 CT 12 OZ GLASS BOTTLE IN BOX 144 OZ,NEED TO INSPECT
2621,2021-08-10 01:05:40.000000,00704361121113,00704361990245,GL IRISH ALE 4/6 PK NR,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
2670,2021-08-10 01:06:14.000000,00078000032390,00078000032390,C DRY C 2/12PK ZERO GINGER LE,00078000032390,CANADA DRY LEMONADE 2/12/12OZ CANS,NEED TO INSPECT
2691,2021-08-10 01:32:39.000000,635985260455,635985260387,MIKES WHT CLAW BLKCHRY 12/19C,00635985260455,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 19 OZ CAN IN BOX 230.4 OZ,NEED TO INSPECT
2692,2021-08-10 01:32:39.000000,635985260455,635985260387,MIKES WHT CLAW BLKCHRY 12/19C,00635985260387,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 1 CT 19 OZ CAN 19.2 OZ,NEED TO INSPECT
2725,2021-08-10 01:31:46.000000,00078000053166,00078000053166,A&W C 12PK 2/12ZERO ROOTB,00078000053166,A&W DIET ROOT BEER SODA 24/12OZ CANS,NEED TO INSPECT
2860,2021-08-10 01:00:37.000000,00631234400054,00631234400030,SW IPA 4/6/12 BTL,00631234400030,SWEETWATER INDIA PALE ALE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
2916,2021-08-10 01:40:18.000000,071990170288,071990170288,4/6/12NR COORS STUBBY BOTTLE,00071990170288,COORS BEER 6 CT 12 OZ SHRTNCK BTTL IN CRTN 72 OZ,NEED TO INSPECT
2945,2021-08-10 01:54:41.000000,08600378021,08600378021,MOND CAB BBN BRL AGED PVT SEL,00086003780217,R MNDVI PVT SEL CABERNET SAUV 750 ML,NEED TO INSPECT
2960,2021-08-10 01:50:59.000000,00635985260479,00635985260448,WC HRD RUBY GF C12 19.2OZ,00635985260448,WHITE CLAW HARD SELTZER RUBY GRAPEFRUIT MALT BEVERAGE 1 CT 19 OZ CAN 19.2 OZ,NEED TO INSPECT
2970,2021-08-10 01:54:41.000000,08858660384,08858660384,CSM CHARD 750ML,00088586603843,CHATEAU STE MICHELLE CHARDONNAY 12/750ML,NEED TO INSPECT
2971,2021-08-10 01:54:41.000000,08858660384,08858660384,CSM CHARD 750ML,00088586603846,CHATEAU STE MICHELLE CHARDONNAY COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
3003,2021-08-10 01:55:33.000000,083820234800,00081584130406,750    KJ VINTNER RES 19 SAUVIGNON B,00083820234800,GUINNESS EXTRA STOUT BEER 1 CT 22 OZ GLASS BOTTLE 22 OZ,NEED TO INSPECT
3061,2021-08-10 01:54:43.000000,00611269283112,00611269283105,RB PEACH 12Z SINGLES,00611269283112,RED BULL - BEVERAGE PEACH EDITION 12OZ TRAY,NEED TO INSPECT
3064,2021-08-10 01:51:04.000000,012000002243,,20OZ PL MDEW CD RD 1/24,00012000002243,MOUNTAIN DEW CODE RED SODA 24/20OZ PET,NEED TO INSPECT
3159,2021-08-10 01:56:22.000000,00853759000667,00853759000278,S/T 2X IPA 12 OZ NR 4/6,00853759000278,SOUTHERN TIER 2XIPA BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
3195,2021-08-10 01:04:04.000000,00860003205402,00860003205402,MAC & JACK C 4/6 AFRICAN,00860003205402,AFRICAN AMBER 12 OZ CAN / SIX PACK ALE,NEED TO INSPECT
3306,2021-08-10 01:21:20.000000,080660956152,080660956152,2/12/12NR CORONA,00080660956152,CORONA EXTRA BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
3342,2021-08-10 01:14:53.000000,00034100570231,034100570231,LITE ALUM PINT 2/9PK   16OZ,00034100570231,MILLER LITE BEER 9 CT 16 OZ ALUMINUM BOTTL IN BX 144 OZ,NEED TO INSPECT
3353,2021-08-10 01:06:32.000000,,810631030327,EXILE RUTHIE 4/6 CAN,00810631030327,RUTHIE GOLD LAGER 6-PACK 12OZ CAN,NEED TO INSPECT
3449,2021-08-10 01:01:22.000000,08500001681,08500001681,CAMARENA TEQUILA   SILVER  LT,00085000016817,FAMILIA CMR SLV IM TEQ WHITE 1.0 LTR,NEED TO INSPECT
3458,2021-08-10 01:26:52.000000,754527000233,754527000226,NB FAT TIRE 4/6/12 BTLS,00754527000233,FAT TIRE AMBER ALE 6PK BTL,NEED TO INSPECT
3461,2021-08-10 01:15:21.000000,00737530060128,00737530060128,SCH TASMA IPA 4-6-12 CAN,00737530060128,SCHLAFLY SPECIAL RELEASE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
3465,2021-08-10 01:10:56.000000,083783530988,083783381023,SN TORPEDO 2/12/12 CN,00083783381023,SIERRA NEVADA TORPEDO EXTRA IPA BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
3578,2021-08-10 01:31:16.000000,07199017037,07199017037,2/12/12NR COORS STUBBY BOTTLE,00071990170370,COORS BEER 12 CT 12 OZ SHORTNECK BTTL IN BX 144 OZ,NEED TO INSPECT
3666,2021-08-10 01:31:15.000000,00082000786344,00082000786290,SI SMSH PNE CO C12 23.5OZ,00082000786344,SMIRNOFF SMASH STRAWBERRY LEMONADE 2/6/23.5 OZ CAN,NEED TO INSPECT
3671,2021-08-10 01:27:32.000000,00635985100348,00635985100331,WC HRD MANGO C24 12OZ 12P,00635985100331,WHITE CLAW HARD SELTZER MANGO MALT BEVERAGE 12 CT 12 OZ CAN 144 OZ,NEED TO INSPECT
3717,2021-08-10 01:09:21.000000,082000762003,082000762003,4/6/11.2NR SMIRNOFF ICE HURRICANE PUNCH,00082000762003,SMIRNOFF ICE PEACH BELLINI MALT BEVERAGE 6 CT 11 OZ LONG NECK BTL CRTN 67.2 OZ,NEED TO INSPECT
3737,2021-08-10 01:35:39.000000,080660957883,080660957876,NEG MODELO 12/12 NR,00080660957883,MODELO NEGRA BEER 24 CT 12 OZ GLASS BOTTLE IN BOX 288 OZ,NEED TO INSPECT
3738,2021-08-10 01:35:39.000000,080660957883,080660957876,NEG MODELO 12/12 NR,00080660957876,MODELO NEGRA BEER 12 CT 12 OZ GLASS BOTTLE IN BOX 144 OZ,NEED TO INSPECT
3756,2021-08-10 01:08:44.000000,083783160000,083783160000,SN SAMPLER PK 2/12/12 BTL,00083783160000,SIERRA NEVADA VARIETY PACK BEER 12 CT 12 OZ GLASS BOTTLE IN BOX 144 OZ,NEED TO INSPECT
3774,2021-08-10 01:16:37.000000,00082000789680,00082000789673,SMI SPRK 4 WAY 2-12-12 CAN,00082000789673,SMIRNOFF SPIKED SPARKLING SELTZER RASPBERRY ROSE MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
3810,2021-08-10 01:37:21.000000,00704361121113,00704361990245,GL IRISH ALE 4/6 PK NR,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
3842,2021-08-10 01:49:36.000000,00034100570224,00034100570231,LITE 9PK ALM 16OZ,00034100570224,MILLER LITE BEER 18 CT 16 OZ ALUMINUM BOTTL IN BX 288 OZ,NEED TO INSPECT
3843,2021-08-10 01:55:06.000000,034100012342,034100012328,VIZZY VP1 12PK CANS,00034100012328,VIZZY HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
