,DISTRIBUTOR_FDC_ID,DISTRIBUTOR_FTS_ID,INVOICE_UPDATE_DATETIME,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION,GTIN,PRODUCT_DESCRIPTION,new_invoice_description
750,27,27,2021-08-10 01:41:47.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
770,8670,8670,2021-08-10 01:47:09.000000,00028000743758,00028000328375,NESQUIK CINN TC 12/14,00028000328375,NESTLE CINNAMON TOAST CRUNCH FLAVORED MILK 12/14OZ PET,NEED TO INSPECT
862,14623,14623,2021-08-10 01:56:12.000000,083804047235,008380404723,12/750 COOKS,00083804047235,COOK'S CALIFORNIA CHAMPAGNE EXTRA DRY 750ML BOTTLES,NEED TO INSPECT
898,66190,66190,2021-08-10 01:59:12.000000,52000000000000,754527009052,NB VDR IPA 19.2OZ 15P CAN,00754527009052,NEW BELGIUM VOODOO RANGER IPA BEER 1 CT 19 OZ CAN 19.2 OZ,NEED TO INSPECT
919,45713,45713,2021-08-10 01:03:57.000000,087692832317,087692832317,T.T.ORIG   24OZ   CAN 24OZ,00087692832317,TWISTED TEA CAN 24OZ TWISTED TEA ORIGINAL,NEED TO INSPECT
948,4076552,121642,2021-08-10 01:22:33.000000,00754527008857,00754527008857,NB VDR JCY HAZ 4/6/12 CAN,00754527008857,NEW BELGIUM VOODOO RANGER JUICY HAZE IPA BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
956,12368,12368,2021-08-10 01:01:23.000000,08858662184,08858662184,CSM JO RIES 750ML,00088586621840,CHATEAU STE MICHELLE RIESLING VINTAGE SELECT COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
997,14091,14091,2021-08-10 01:13:29.000000,00737530060128,00737530060128,SCH TASMA IPA 4-6-12 CAN,00737530060128,SCHLAFLY SPECIAL RELEASE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
1036,14999,14999,2021-08-10 01:05:58.000000,00078000033892,00078000033892,A&W C 10PK 7.5OZ ROOTBEER,00078000033892,A&W ROOT BEER SODA 3/10/7.5OZ CANS,NEED TO INSPECT
1058,14999,14999,2021-08-10 01:21:14.000000,00090478230047,00090478321004,JARRITOS B 24/11.16 SAN,00090478321004,SANGRIA SEÑORIAL 11.6OZ,NEED TO INSPECT
1086,6685,6685,2021-08-10 01:23:25.000000,034100573065,034100573065,LITE SUITCASE CANS,00034100573065,MILLER LITE BEER 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
1101,14999,14999,2021-08-10 01:06:40.000000,00078000033892,00078000033892,A&W C 10PK 7.5OZ ROOTBEER,00078000033892,A&W ROOT BEER SODA 3/10/7.5OZ CANS,NEED TO INSPECT
1135,12800,12800,2021-08-10 01:15:10.000000,,088586601835,CSM CV CAB SAUV - CS12-750ML,00088586601835,CHATEAU STE MICHELLE CABERNET SAUVIGNON COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
1192,14998,14998,2021-08-10 01:09:27.000000,00078000053166,00078000053166,A&W C 12PK 2/12ZERO ROOTB,00078000053166,A&W DIET ROOT BEER SODA 24/12OZ CANS,NEED TO INSPECT
1198,14998,14998,2021-08-10 01:05:07.000000,00078000032390,00078000032390,C DRY C 2/12PK ZERO GINGER LE,00078000032390,CANADA DRY LEMONADE 2/12/12OZ CANS,NEED TO INSPECT
1223,1247,1247,2021-08-10 01:14:44.000000,00087692006619,00087692006602,AO ROSE 6PK BT,00087692006619,ANGRY ORCHARD CARTON 4X6PK MOTHER ANGRY ORCHARD ROSE,NEED TO INSPECT
1224,1247,1247,2021-08-10 01:14:44.000000,00087692006619,00087692006602,AO ROSE 6PK BT,00087692006602,ANGRY ORCHARD CARRIER 6X12OZ BOTTLES ANGRY ORCHARD ROSE,NEED TO INSPECT
1307,17888,17888,2021-08-10 01:03:14.000000,080686001904,080686001904,JIM BEAM BOURBON 80 12/10PK 50ML,00080686001904,MMK BBN 45% 12X1000ML XP RWK RU,NEED TO INSPECT
1425,14998,14998,2021-08-10 01:32:46.000000,00016571953393,00016571953393,TR ICE P12PACK 17PINK VARIETY,00016571953393,SPARKLING ICE VARIETY PINK PACK 12/17OZ PLASTIC BOTTLES,NEED TO INSPECT
1502,14998,14998,2021-08-10 01:29:06.000000,00016571952846,00016571952822,TR ICE C 12/16 CAFF ORANGE,00016571952846,SPARKLING ICE ORANGE PASSIONFRUIT 12/16OZ CANS,NEED TO INSPECT
1505,14998,14998,2021-08-10 01:23:16.000000,00855623002241,00855623002241,IRON HORSE C 4/6 PB & DEA,00855623002241,DEATHSERIES 12OZ CANS IHB DEATH SERIES,NEED TO INSPECT
1552,14999,14999,2021-08-10 01:06:14.000000,00078000032390,00078000032390,C DRY C 2/12PK ZERO GINGER LE,00078000032390,CANADA DRY LEMONADE 2/12/12OZ CANS,NEED TO INSPECT
1596,467,467,2021-08-10 01:13:58.000000,03410000173,03410000173,4/6/16CN HAMM'S,00034100001735,HAMMS BEER 1 CT 16 OZ CAN 16 OZ,NEED TO INSPECT
1609,11031,11031,2021-08-10 01:34:44.000000,034100015091,034100015091,MHL 2/12 LNNR 24/12,00034100015091,MILLER HIGH LIFE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
1672,15438,15438,2021-08-10 01:33:53.000000,00018200961199,00018200189920,BL PLAT       2/12 LNNR %,00018200189920,BUD LIGHT PLATINUM LAGER BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
1673,15438,15438,2021-08-10 01:33:53.000000,00018200961199,00018200189920,BL PLAT       2/12 LNNR %,00018200961199,BUD LIGHT PLATINUM LAGER BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
1674,15438,15438,2021-08-10 01:24:37.000000,00855059003003,00855059003003,LC            MINERS 4/6%,00855059003003,MINERS GOLD - HEFEWEIZEN WHEAT ALE,NEED TO INSPECT
1704,3988719,121239,2021-08-10 01:00:07.000000,018200958458,018200255328,MANG-O-RITA 24/16 6/4 CN,00018200255328,BUD LIGHT LIME MANG O RITA MALT BEVERAGE 4 CT 16 OZ CAN 64 OZ,NEED TO INSPECT
1763,7724,7724,2021-08-10 01:03:11.000000,08068600120,,JIM BEAM BOURBON,00080686001201,TEQUILA SAUZA SILVER 6X100 38Âº IN BD RWK,NEED TO INSPECT
1815,14999,14999,2021-08-10 01:09:19.000000,00078000033892,00078000033892,A&W C 10PK 7.5OZ ROOTBEER,00078000033892,A&W ROOT BEER SODA 3/10/7.5OZ CANS,NEED TO INSPECT
1829,14999,14999,2021-08-10 01:12:56.000000,00078000033328,00078000033328,C DRY C 2/12PK BOLD GINGERALE,00078000033328,CANADA DRY BOLD SODA 2/12/12OZ CANS,NEED TO INSPECT
1927,19271,19271,2021-08-10 01:53:57.000000,085000024905,085000024904,APOTHIC INFERNO 12/750,00085000024904,TURNING LEAF CABERNET SAUV 750 ML,NEED TO INSPECT
1944,17983,65933,2021-08-10 01:43:30.000000,00087692004974,00087692004974,SEAS SA CS    SAM76 2/12CN,00087692004974,SAMUEL ADAMS WRAP 12X12OZ CAN SAMUEL ADAMS WICKED EASY,NEED TO INSPECT
1970,16832,16832,2021-08-10 01:53:12.000000,00087692300519,00087692300502,ADAMS COLD SNP 12 OZ NR 4/6,00087692300502,SAMUEL ADAMS CARRIER 6X12OZ BOTTLES SAMUEL ADAMS SEASONAL,NEED TO INSPECT
2038,13540,13540,2021-08-10 01:28:57.000000,022100001572,00086003000490,750    WOODBRIDGE NV MERLOT,00022100001572,PABST BLUE RIBBON BEER 18 CT 12 OZ CAN IN BOX 216 OZ,NEED TO INSPECT
2101,20,20,2021-08-10 01:02:24.000000,00018200961182,00018200189937,PLAT          4/6 NR,00018200189937,BUD LIGHT PLATINUM LAGER BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
2102,20,20,2021-08-10 01:02:24.000000,00018200961182,00018200189937,PLAT          4/6 NR,00018200961182,BUD LIGHT PLATINUM LAGER BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
2146,3076686,113899,2021-08-10 01:12:21.000000,818094005777,197779,16OZ CN RKSTR ENRG 1/12,10818094005774,ROCKSTAR ENERGY DRINK ORIGINAL 1/12/16OZ CAN,NEED TO INSPECT
2150,6684,6684,2021-08-10 01:16:48.000000,00087692752134,00087692752318,TT 1/2 N 1/2 CAN 12/24,00087692752134,TWISTED TEA TRAY 24OZ CAN TWISTED TEA HALF & HALF,NEED TO INSPECT
2151,6684,6684,2021-08-10 01:16:48.000000,00087692752134,00087692752318,TT 1/2 N 1/2 CAN 12/24,00087692752318,TWISTED TEA CAN 24OZ TWISTED TEA HALF & HALF,NEED TO INSPECT
2225,3076686,113899,2021-08-10 01:38:03.000000,818094005777,197779,16OZ CN RKSTR ENRG 1/12,10818094005774,ROCKSTAR ENERGY DRINK ORIGINAL 1/12/16OZ CAN,NEED TO INSPECT
2259,9369,9369,2021-08-10 01:00:59.000000,635985260899,635985260899,MIKES WHT CLAW BLKCHRY 2/12C,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
2468,8670,8670,2021-08-10 01:45:08.000000,00858945005037,00858945005037,LOST FORTY ROCKHND 4/6/12,00858945005037,ROCKHOUND IPA 6 PACK 12 OZ CANS,NEED TO INSPECT
2479,8260,8260,2021-08-10 01:13:30.000000,00854973005100,00854973005100,REUBENS C 4/6/12 BITS,00854973005100,STANDARD SEASONAL - 12OZ CANS 6X12OZ,NEED TO INSPECT
2583,16463,16463,2021-08-10 01:23:18.000000,00611269213843,00611269212457,RB KIWI TWIST 12Z SINGLES,00611269213843,RED BULL - BEVERAGE GREEN EDITION 12OZ TRAY,NEED TO INSPECT
2597,8489,8489,2021-08-10 01:08:53.000000,012000004520,,13.7OZ NR FRAP MCH 1/12,00012000004520,STARBUCKS FRAPPUCCINO MOCHA COFFEE 13.7OZ BOTTLE ,NEED TO INSPECT
2657,16832,16832,2021-08-10 01:06:58.000000,704361121113,704361990245,G/L CNWY IRISH 12 OZ NR 4/6,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
2682,28849,28849,2021-08-10 01:14:52.000000,00034100570231,034100570231,LITE ALUM PINT 2/9PK   16OZ,00034100570231,MILLER LITE BEER 9 CT 16 OZ ALUMINUM BOTTL IN BX 144 OZ,NEED TO INSPECT
2688,20,20,2021-08-10 01:02:20.000000,00018200961199,00018200189920,PLAT          2/12 NR,00018200189920,BUD LIGHT PLATINUM LAGER BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
2689,20,20,2021-08-10 01:02:20.000000,00018200961199,00018200189920,PLAT          2/12 NR,00018200961199,BUD LIGHT PLATINUM LAGER BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
2707,20,20,2021-08-10 01:00:28.000000,00018200530364,00018200008337,BLT           4/6 NR,00018200530364,BUD LIGHT BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
2708,20,20,2021-08-10 01:00:28.000000,00018200530364,00018200008337,BLT           4/6 NR,00018200008337,BUD LIGHT BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
2718,6684,6684,2021-08-10 01:38:55.000000,00087692291053,00087692291039,SAM SPRNG SESN NR 2/12/12,00087692291053,SAMUEL ADAMS SEASONAL VARIETY PACK TRAY / 2 12-12OZ CARTONS,NEED TO INSPECT
2719,6684,6684,2021-08-10 01:38:55.000000,00087692291053,00087692291039,SAM SPRNG SESN NR 2/12/12,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
2722,6684,6684,2021-08-10 01:39:23.000000,,00078000001624,DIET 7 UP PET 24/20,00078000001624,7UP DIET ZERO SUGAR SODA 24/20OZ PET,NEED TO INSPECT
2726,6684,6684,2021-08-10 01:16:44.000000,00087692005063,00087692004905,TT PEACH CAN 12/24,00087692005063,SAMUEL ADAMS CARRIER 6X12OZ BOTTLES SAMUEL ADAMS REBEL JUICED,NEED TO INSPECT
2785,12783,12783,2021-08-10 01:23:50.000000,85606500209,85606500209,DEEP EDDY VODKA   RUBY RED  LT,00856065002097,DE SPIRITS LLC 1L BOTTLE - RR,NEED TO INSPECT
2813,7211,7211,2021-08-10 01:02:31.000000,018200286117,018200250149,RITAS LIME-A-RITA 25OZ CAN 1 X 12PK,00018200250149,BUD LIGHT LIME LIME A RITA MALT BEVERAGE 1 CT 25 OZ CAN 25 OZ,NEED TO INSPECT
2854,14999,14999,2021-08-10 01:06:31.000000,00078000002430,00078000001143,C DRY 6PK 12OZ C 4/6 GINGER,00078000002430,CANADA DRY GINGER ALE SODA 4/6/12OZ CAN,NEED TO INSPECT
2855,14999,14999,2021-08-10 01:06:31.000000,00078000002430,00078000001143,C DRY 6PK 12OZ C 4/6 GINGER,00078000001143,CANADA DRY GINGER ALE SODA 4/6/12OZ PET,NEED TO INSPECT
2862,14999,14999,2021-08-10 01:13:34.000000,00078000033328,00078000033328,C DRY C 2/12PK BOLD GINGERALE,00078000033328,CANADA DRY BOLD SODA 2/12/12OZ CANS,NEED TO INSPECT
2908,65201,65201,2021-08-10 01:47:20.000000,635985249863,080660953014,MIKES HARDER CRAN/LEMON 23.5 OZ CAN 12PK,00080660953014,PACIFICO CLARA BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
2923,5322,5322,2021-08-10 01:58:33.000000,034100001858,078000020403,TAHITIAN TREAT 24/20 PET,00034100001858,MICKEYS MALT LIQUOR MALT LIQUOR 1 CT 40 OZ GLASS BOTTLE 40 OZ,NEED TO INSPECT
3029,28849,28849,2021-08-10 01:59:41.000000,00034100570231,034100570231,LITE ALUM PINT 2/9PK   16OZ,00034100570231,MILLER LITE BEER 9 CT 16 OZ ALUMINUM BOTTL IN BX 144 OZ,NEED TO INSPECT
3087,15431,15431,2021-08-10 01:44:53.000000,085000025025,085000025024,CARLO ROSSI MOSCATO SANG 12/.75LT,00085000025024,C ROSSI SW SN J TABLE OTHER 750 ML,NEED TO INSPECT
3100,17658,17658,2021-08-10 01:41:11.000000,080660957883,080660957876,NEGRA MODELO 12OZ NR 2/12,00080660957883,MODELO NEGRA BEER 24 CT 12 OZ GLASS BOTTLE IN BOX 288 OZ,NEED TO INSPECT
3116,467,467,2021-08-10 01:56:48.000000,07199017037,07199017037,2/12/12NR COORS STUBBY BOTTLE,00071990170370,COORS BEER 12 CT 12 OZ SHORTNECK BTTL IN BX 144 OZ,NEED TO INSPECT
3354,22488,22488,2021-08-10 01:45:05.000000,00018200110368,00018200008344,BUD 4/6/12 BT,00018200008344,BUDWEISER BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
3355,22488,22488,2021-08-10 01:45:05.000000,00018200110368,00018200008344,BUD 4/6/12 BT,00018200110368,BUDWEISER BEER 24 CT 12 OZ LONG NECK BOTTLE 288 OZ,NEED TO INSPECT
3358,6684074,143164,2021-08-10 01:45:30.000000,786162001511,,700M PT 24LS_SMTWTR,00786162001511,GLACEAU SMARTWATER 1/24/23.7OZ PET,NEED TO INSPECT
3395,11816,11816,2021-08-10 01:54:22.000000,00859088003645,00859088003669,BR SANGRIA B24 12OZ 6P,00859088003645,BOLD ROCK/(HARD CIDER) SEASONAL,NEED TO INSPECT
3396,11816,11816,2021-08-10 01:54:22.000000,00859088003645,00859088003669,BR SANGRIA B24 12OZ 6P,00859088003669,BOLD ROCK/(HARD CIDER) SEASONAL,NEED TO INSPECT
3413,13017,13017,2021-08-10 01:48:19.000000,00856655003282,00856655003282,DB VAR HOP PAK 2/12 LNNR 12OZ,00856655003282,VARIETY 12-12OZ GLASS BOTTLES,NEED TO INSPECT
3449,15506,15506,2021-08-10 01:57:24.000000,798449008113,,COOP HAWK PKG CHOC ALMOND CHOCOLATE,00798449008113,ACE CIDER PINEAPPLE 4/6/12OZ BOTTLE,NEED TO INSPECT
3452,39907,39907,2021-08-10 01:54:24.000000,857944005291,857944005291,BLUEBERRY DONUT CREAM ALE - 4/6/12 CN,00857944005291,903 BREWERS DOWN WITH THE PASTRYARCHY 6/12OZ,NEED TO INSPECT
3478,10000,10000,2021-08-10 01:41:34.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
3487,14998,14998,2021-08-10 01:06:10.000000,00078000011814,00078000011814,7-UP C 12PK 2/12 ZERO,00078000011814,7UP DIET ZERO SODA 2/12/12OZ CANS ,NEED TO INSPECT
3512,14827,14827,2021-08-10 01:30:28.000000,610764826121,610764826114,BANG PINA C 12/16,00610764826121,VPX BANG RTD 16 OZ PINA COLADA,NEED TO INSPECT
3513,14827,14827,2021-08-10 01:30:28.000000,610764826121,610764826114,BANG PINA C 12/16,00610764826114,VPX BANG RTD 16 OZ PINA COLADA,NEED TO INSPECT
3530,53256,53256,2021-08-10 01:25:06.000000,018200967696,001820005990,ULTRA 2/12/12Z NR,00018200967696,MICHELOB ULTRA BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
3649,42541,42541,2021-08-10 01:32:53.000000,00866419000082,00866419000082,CPRTL UNHOLY T C24 12OZ 6P,00866419000082,UNHOLY TRIPPEL - 6PK CASE BELGO-AMERICAN STYLE,NEED TO INSPECT
3654,9369,9369,2021-08-10 01:32:37.000000,635985100508,635985260394,MIKES WHT CLAW MANGO 12/19C,00635985260394,WHITE CLAW HARD SELTZER MANGO MALT BEVERAGE 1 CT 19 OZ CAN 19.2 OZ,NEED TO INSPECT
3689,95,95,2021-08-10 01:41:45.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
3705,565,565,2021-08-10 01:32:06.000000,00898999010229,00898999011325,VC PURE 12/16.9OZ PET,00898999011325,VITA COCO NATURAL COCONUT WATER 12/500ML PET,NEED TO INSPECT
3738,125,125,2021-08-10 01:05:44.000000,00704361121113,00704361990245,GL IRISH ALE 4/6 PK NR,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
3825,467,467,2021-08-10 01:40:52.000000,034100807412,034100807412,1/30/12CN HAMM'S,00034100807412,HAMMS BEER 30 CT 12 OZ CAN IN BOX 360 OZ,NEED TO INSPECT
3826,124,124,2021-08-10 01:45:05.000000,00018200110368,00018200008344,BUD 4/6/12 BT,00018200008344,BUDWEISER BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
3827,124,124,2021-08-10 01:45:05.000000,00018200110368,00018200008344,BUD 4/6/12 BT,00018200110368,BUDWEISER BEER 24 CT 12 OZ LONG NECK BOTTLE 288 OZ,NEED TO INSPECT
3861,16642,16642,2021-08-10 01:01:48.000000,610764863645,610764863638,BANG BLUE RASPBERRY CAN 12/16OZ,00610764863638,VPX BANG RTD 16 OZ BLUE RAZZ,NEED TO INSPECT
3862,16642,16642,2021-08-10 01:01:48.000000,610764863645,610764863638,BANG BLUE RASPBERRY CAN 12/16OZ,00610764863645,VPX BANG RTD 16 OZ BLUE RAZZ,NEED TO INSPECT
3993,95,95,2021-08-10 01:19:28.000000,00754527010706,00754527010706,NB V VD HOPPY C24 12OZ 12P,00754527010706,NEW BELGIUM VOODOO RANGER HOPPY PACK VARIETY PACK BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
4038,104607,104607,2021-08-10 01:31:02.000000,,723830001787,LAG CLUSTER 4/6/12 CN,00723830001787,LAGUNITAS SUPER CLUSTER ALE BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
4049,455,455,2021-08-10 01:17:31.000000,00754527004200,00754527004217,NB VOODOO IMP 6PK NR 12OZ,00754527004200,NEW BELGIUM VOODOO RANGER IMPERIAL IPA 4/6/12OZ BOTTLES,NEED TO INSPECT
4050,455,455,2021-08-10 01:17:31.000000,00754527004200,00754527004217,NB VOODOO IMP 6PK NR 12OZ,00754527004217,NEW BELGIUM VOODOO RANGER IMPERIAL IPA 4/6/12OZ BOTTLES,NEED TO INSPECT
4118,68061,68061,2021-08-10 01:22:30.000000,00611269546248,00611269546026,SF RB 20Z,00611269546248,RED BULL - BEVERAGE SUGARFREE 16OZ TRAY,NEED TO INSPECT
4119,68061,68061,2021-08-10 01:22:30.000000,00611269546248,00611269546026,SF RB 20Z,00611269546026,RED BULL - BEVERAGE SUGARFREE 16OZ EACH,NEED TO INSPECT
4121,8489,8489,2021-08-10 01:12:36.000000,012000004520,,13.7OZ NR FRAP MCH 1/12,00012000004520,STARBUCKS FRAPPUCCINO MOCHA COFFEE 13.7OZ BOTTLE ,NEED TO INSPECT
4135,68059,68059,2021-08-10 01:21:24.000000,00611269423754,00611269716467,SF RB 12Z SINGLES,00611269423754,RED BULL - BEVERAGE SUGARFREE 12OZ TRAY,NEED TO INSPECT
4221,38546,38546,2021-08-10 01:36:21.000000,747301010115,747301003278,KY BBA ALE 6/4/12OZ,00747301003278,KENTUCKY ALE BOURBON BARREL 4 PAK,NEED TO INSPECT
4222,38546,38546,2021-08-10 01:36:21.000000,747301010115,747301003278,KY BBA ALE 6/4/12OZ,00747301010115,KENTUCKY ALE BOURBON BARREL CASE 6 - 4 PACKS,NEED TO INSPECT
4256,35512,35512,2021-08-10 01:43:44.000000,087000001992,,CROWN ROYAL CANADIAN 80 10/6PK PET 50.000 ML,00087000001992,SEAGRAM CRN RYL CANDN BTL CAN 50 ML,NEED TO INSPECT
4258,42541,42541,2021-08-10 01:41:43.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
4261,76691,76691,2021-08-10 01:53:57.000000,00083820123647,00083820123685,GUIN PUB      14.9CN 3/8 DIC,00083820123685,GUINNESS DRAUGHT BEER 8 CT 15 OZ CAN IN BOX 119.2 OZ,NEED TO INSPECT
4262,76691,76691,2021-08-10 01:53:57.000000,00083820123647,00083820123685,GUIN PUB      14.9CN 3/8 DIC,00083820123647,GUINNESS DRAUGHT BEER 24 CT 15 OZ CAN IN BOX 357.6 OZ,NEED TO INSPECT
4280,14091,14091,2021-08-10 01:43:58.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985500056,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
4281,14091,14091,2021-08-10 01:43:58.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985548904,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
4295,12368,12368,2021-08-10 01:56:59.000000,08858660183,08858660183,CSM CAB 750ML,00088586601835,CHATEAU STE MICHELLE CABERNET SAUVIGNON COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
4321,33524,33524,2021-08-10 01:39:46.000000,00736920114397,00736920114397,GI IPA 6/4/16 CAN,00736920114397,GOOSE ISLAND IPA BEER 4 CT 16 OZ CAN 64 OZ,NEED TO INSPECT
